Expertise,Difficulty,Self-reported
Out-domain,Easy,3.0
Out-domain,Hard,4.0
Out-domain,Hard,1.0
Out-domain,Hard,3.0
Out-domain,Hard,2.0
Out-domain,Hard,2.0
Out-domain,Hard,1.0
Out-domain,Hard,4.0
In-domain,Easy,1.0
In-domain,Easy,2.0
In-domain,Easy,1.0
In-domain,Easy,2.0
In-domain,Easy,2.0
In-domain,Easy,2.0
In-domain,Easy,2.0
In-domain,Easy,2.0
In-domain,Easy,2.0
In-domain,Easy,1.0
In-domain,Easy,2.0
In-domain,Easy,2.0
In-domain,Easy,1.0
In-domain,Easy,3.0
In-domain,Easy,3.0
In-domain,Easy,2.0
In-domain,Easy,4.0
In-domain,Easy,2.0
In-domain,Easy,1.0
In-domain,Hard,2.0
In-domain,Hard,3.0
In-domain,Hard,3.0
In-domain,Hard,3.0
In-domain,Hard,3.0
In-domain,Hard,2.0
In-domain,Hard,3.0
In-domain,Hard,2.0
In-domain,Hard,1.0
In-domain,Hard,3.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,3.0
In-domain,Hard,2.0
In-domain,Hard,1.0
In-domain,Hard,1.0
In-domain,Hard,1.0
In-domain,Hard,4.0
In-domain,Hard,2.0
In-domain,Hard,4.0
In-domain,Hard,1.0
In-domain,Hard,2.0
In-domain,Hard,2.0
In-domain,Hard,2.0
In-domain,Hard,1.0
In-domain,Hard,1.0
In-domain,Hard,1.0
In-domain,Hard,4.0
In-domain,Hard,3.0
