Expertise,Difficulty,Queries
Out-domain,Hard,3.0
Out-domain,Hard,3.0
Out-domain,Hard,4.0
Out-domain,Hard,9.0
Out-domain,Hard,3.0
Out-domain,Hard,5.0
Out-domain,Hard,5.0
Out-domain,Hard,6.0
Out-domain,Hard,4.0
Out-domain,Hard,5.0
Out-domain,Hard,3.0
Out-domain,Hard,6.0
Out-domain,Hard,2.0
Out-domain,Hard,4.0
In-domain,Easy,4.0
In-domain,Easy,2.0
In-domain,Easy,5.0
In-domain,Easy,4.0
In-domain,Easy,4.0
In-domain,Easy,3.0
In-domain,Easy,3.0
In-domain,Easy,1.0
In-domain,Easy,3.0
In-domain,Easy,3.0
In-domain,Easy,4.0
In-domain,Easy,12.0
In-domain,Easy,1.0
In-domain,Easy,1.0
In-domain,Easy,1.0
In-domain,Easy,3.0
In-domain,Hard,4.0
In-domain,Hard,3.0
In-domain,Hard,3.0
In-domain,Hard,7.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,15.0
In-domain,Hard,3.0
In-domain,Hard,3.0
In-domain,Hard,2.0
In-domain,Hard,7.0
In-domain,Hard,2.0
In-domain,Hard,2.0
In-domain,Hard,3.0
In-domain,Hard,1.0
In-domain,Hard,6.0
In-domain,Hard,2.0
In-domain,Hard,2.0
In-domain,Hard,2.0
In-domain,Hard,4.0
In-domain,Hard,3.0
In-domain,Hard,2.0
In-domain,Hard,7.0
In-domain,Hard,3.0
In-domain,Hard,1.0
In-domain,Hard,2.0
