Expertise,Difficulty,Time
Out-domain,Hard,1155.0
Out-domain,Hard,2963.0
Out-domain,Hard,799.0
Out-domain,Hard,2952.0
Out-domain,Hard,969.0
Out-domain,Hard,1701.0
Out-domain,Hard,3450.0
Out-domain,Hard,1984.0
Out-domain,Hard,649.0
Out-domain,Hard,1009.0
Out-domain,Hard,1630.0
Out-domain,Hard,927.0
Out-domain,Hard,112.0
Out-domain,Hard,1835.0
In-domain,Easy,701.0
In-domain,Easy,709.0
In-domain,Easy,760.0
In-domain,Easy,1179.0
In-domain,Easy,910.0
In-domain,Easy,1015.0
In-domain,Easy,2049.0
In-domain,Easy,259.0
In-domain,Easy,1572.0
In-domain,Easy,2477.0
In-domain,Easy,904.0
In-domain,Easy,2534.0
In-domain,Easy,492.0
In-domain,Easy,157.0
In-domain,Easy,108.0
In-domain,Easy,836.0
In-domain,Hard,2151.0
In-domain,Hard,958.0
In-domain,Hard,866.0
In-domain,Hard,1694.0
In-domain,Hard,2288.0
In-domain,Hard,1456.0
In-domain,Hard,1910.0
In-domain,Hard,3694.0
In-domain,Hard,881.0
In-domain,Hard,645.0
In-domain,Hard,1183.0
In-domain,Hard,3611.0
In-domain,Hard,1269.0
In-domain,Hard,691.0
In-domain,Hard,1416.0
In-domain,Hard,345.0
In-domain,Hard,1774.0
In-domain,Hard,1511.0
In-domain,Hard,1787.0
In-domain,Hard,840.0
In-domain,Hard,1510.0
In-domain,Hard,2040.0
In-domain,Hard,1803.0
In-domain,Hard,1259.0
In-domain,Hard,801.0
In-domain,Hard,203.0
In-domain,Hard,347.0
